resource_desc,resource_api
ack_collection / Get full Ack collection,/services/trackme/v1/ack/ack_collection
ack_by_key / Get Ack by _key,/services/trackme/v1/ack/ack_by_key
ack_by_object / Get Ack by object,/services/trackme/v1/ack/ack_by_object
ack_enable / Enable Ack,/services/trackme/v1/ack/ack_enable
ack_disable / Disable Ack,/services/trackme/v1/ack/ack_disable
ds_collection / Get full Data Sources collection,/services/trackme/v1/data_sources/ds_collection
ds_by_key / Get Data Source by _key,/services/trackme/v1/data_sources/ds_by_key
ds_by_name / Get Data Source by name,/services/trackme/v1/data_sources/ds_by_name
ds_enable_monitoring / Enable monitoring,/services/trackme/v1/data_sources/ds_enable_monitoring
ds_disable_monitoring / Disable monitoring,/services/trackme/v1/data_sources/ds_disable_monitoring
ds_update_priority / Update priority,/services/trackme/v1/data_sources/ds_update_priority
ds_update_lag_policy / Update lagging policy,/services/trackme/v1/data_sources/ds_update_lag_policy
ds_update_min_dcount_host / Update minimal host dcount,/services/trackme/v1/data_sources/ds_update_min_dcount_host
ds_update_wdays_by_name / Update week days monitoring,/services/trackme/v1/data_sources/ds_update_wdays
ds_update_outliers / Update outliers detection configuration,/services/trackme/v1/data_sources/ds_update_outliers
ds_update_monitoring_level / Update monitoring level,/services/trackme/v1/data_sources/ds_update_monitoring_level
ds_delete_temporary / Delete temporary,/services/trackme/v1/data_sources/ds_delete_temporary
ds_delete_permanent / Delete permanently,/services/trackme/v1/data_sources/ds_delete_permanent
ds_enable_data_sampling / Enable data sampling,/services/trackme/v1/data_sources/ds_enable_data_sampling
ds_disable_data_sampling / Disable data sampling,/services/trackme/v1/data_sources/ds_disable_data_sampling
ds_update_data_sampling_records_nr / Update sampling no of records,/services/trackme/v1/data_sources/ds_update_data_sampling_records_nr
dh_collection / Get full Data Hosts collection,/services/trackme/v1/data_hosts/dh_collection
dh_by_key / Get data host by _key,/services/trackme/v1/data_hosts/dh_by_key
dh_by_name / Get data host by name,/services/trackme/v1/data_hosts/dh_by_name
dh_enable_monitoring / Enable monitoring,/services/trackme/v1/data_hosts/dh_enable_monitoring
dh_disable_monitoring / Disable monitoring,/services/trackme/v1/data_hosts/dh_disable_monitoring
dh_update_priority / Update priority,/services/trackme/v1/data_hosts/dh_update_priority
dh_reset / Reset data host,/services/trackme/v1/data_hosts/dh_reset
dh_update_lag_policy / Update lagging policy,/services/trackme/v1/data_hosts/dh_update_lag_policy
dh_update_wdays / Update week days monitoring,/services/trackme/v1/data_hosts/dh_update_wdays
dh_update_outliers / Update outliers detection configuration,/services/trackme/v1/data_hosts/dh_update_outliers
dh_delete_temporary / Delete temporary,/services/trackme/v1/data_hosts/dh_delete_temporary
dh_delete_permanent / Delete permanently,/services/trackme/v1/data_hosts/dh_delete_permanent
mh_collection / Get full Metric Hosts collection,/services/trackme/v1/metric_hosts/mh_collection
mh_by_key / Get metric host by _key,/services/trackme/v1/metric_hosts/mh_by_key
mh_by_name / Get metric host by name,/services/trackme/v1/metric_hosts/mh_by_name
mh_enable_monitoring / Enable monitoring,/services/trackme/v1/metric_hosts/mh_enable_monitoring
mh_disable_monitoring / Disable monitoring,/services/trackme/v1/metric_hosts/mh_disable_monitoring
mh_update_priority / Update priority,/services/trackme/v1/metric_hosts/mh_update_priority
mh_reset / Reset metrics,/services/trackme/v1/metric_hosts/mh_reset
mh_delete_temporary / Delete temporary,/services/trackme/v1/metric_hosts/mh_delete_temporary
mh_delete_permanent / Delete permanently,/services/trackme/v1/metric_hosts/mh_delete_permanent
elastic_shared / Get shared Elastic Sources collection,/services/trackme/v1/elastic_sources/elastic_shared
elastic_dedicated / Get dedicated Elastic Sources collection,/services/trackme/v1/elastic_sources/elastic_dedicated
elastic_shared_by_name / Get shared Elastic Source by name,/services/trackme/v1/elastic_sources/elastic_shared_by_name
elastic_dedicated_by_name / Get shared Elastic Source by name,/services/trackme/v1/elastic_sources/elastic_dedicated_by_name
elastic_shared_add / Add or update a new shared Elastic Source,/services/trackme/v1/elastic_sources/elastic_shared_add
elastic_dedicated_add / Add or update a new dedicated Elastic Source,/services/trackme/v1/elastic_sources/elastic_dedicated_add
elastic_shared_del / Delete a new shared Elastic Source,/services/trackme/v1/elastic_sources/elastic_shared_del
elastic_dedicated_del / Delete a new shared Elastic Source,/services/trackme/v1/elastic_sources/elastic_dedicated_del
maintenance_status / Get maintenance mode,/services/trackme/v1/maintenance/maintenance_status
maintenance_enable / Enable maintenance mode,/services/trackme/v1/maintenance/maintenance_enable
maintenance_disable / Disable maintenance mode,/services/trackme/v1/maintenance/maintenance_disable
allowlist_ds / Get current allow list for data sources,/services/trackme/v1/allowlist/allowlist_ds
allowlist_dh / Get current allow list for data hosts,/services/trackme/v1/allowlist/allowlist_dh
allowlist_mh / Get current allow list for metric hosts,/services/trackme/v1/allowlist/allowlist_mh
allowlist_ds_add / Add index allow list for data sources,/services/trackme/v1/allowlist/allowlist_ds_add
allowlist_ds_del / Remove index allow list for data sources,/services/trackme/v1/allowlist/allowlist_ds_del
allowlist_dh_add / Add index allow list for data hosts,/services/trackme/v1/allowlist/allowlist_dh_add
allowlist_dh_del / Remove index allow list for data hosts,/services/trackme/v1/allowlist/allowlist_dh_del
allowlist_mh_add / Add index allow list for metric hosts,/services/trackme/v1/allowlist/allowlist_mh_add
allowlist_mh_del / Remove index allow list for metric hosts,/services/trackme/v1/allowlist/allowlist_mh_del
blocklist_ds_host / Get current block list for data sources (hosts),/services/trackme/v1/blocklist/blocklist_ds_host
