resource_api,resource_desc,resource_doc,resource_grp,resource_mode,resource_example
/services/trackme/v1/ack/ack_collection,ack_collection / Get full Ack collection,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ack-collection-get-full-ack-collection,/services/trackme/v1/ack,get,"| trackme url=""/services/trackme/v1/ack/ack_collection"" mode=""get"""
/services/trackme/v1/ack/ack_by_key,ack_by_key / Get Ack by _key,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ack-by-key-get-ack-by-key,/services/trackme/v1/ack,get,"| trackme url=""/services/trackme/v1/ack/ack_by_key"" mode=""get"" body=""{\""_key\"": \""5fd3fe737b1bef735d3f3532\""}"""
/services/trackme/v1/ack/ack_by_object,ack_by_object / Get Ack by object,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ack-by-object-get-ack-by-object,/services/trackme/v1/ack,get,"| trackme url=""/services/trackme/v1/ack/ack_by_object"" mode=""get"" body=""{\""object_category\"": \""data_source\"", \""object\"": \""network:pan:traffic\""}"""
/services/trackme/v1/ack/ack_enable,ack_enable / Enable Ack,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ack-enable-enable-ack,/services/trackme/v1/ack,post,"| trackme url=""/services/trackme/v1/ack/ack_enable"" mode=""post"" body=""{\""object_category\"": \""data_source\"", \""object\"": \""network:pan:traffic\"", \""ack_period\"": \""86400\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/ack/ack_disable,ack_disable / Disable Ack,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ack-disable-disable-ack,/services/trackme/v1/ack,post,"| trackme url=""/services/trackme/v1/ack/ack_disable"" mode=""post"" body=""{\""object_category\"": \""data_source\"", \""object\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_sources/ds_collection,ds_collection / Get full Data Sources collection,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-collection-get-full-data-sources-collection,/services/trackme/v1/data_sources,get,"| trackme url=""/services/trackme/v1/data_sources/ds_collection"" mode=""get"""
/services/trackme/v1/data_sources/ds_by_key,ds_by_key / Get Data Source by _key,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-by-key-get-data-source-by-key,/services/trackme/v1/data_sources,get,"| trackme url=""/services/trackme/v1/data_sources/ds_by_key"" mode=""get"" body=""{\""_key\"": \""7e8670878a9ad91844f18655f1819c06\""}"""
/services/trackme/v1/data_sources/ds_by_name,ds_by_name / Get Data Source by name,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-by-name-get-data-source-by-name,/services/trackme/v1/data_sources,get,"| trackme url=""/services/trackme/v1/data_sources/ds_by_name"" mode=""get"" body=""{\""data_name\"": \""network:pan:traffic\""}"""
/services/trackme/v1/data_sources/ds_enable_monitoring,ds_enable_monitoring / Enable monitoring,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-enable-monitoring-enable-monitoring,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_enable_monitoring"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_sources/ds_disable_monitoring,ds_disable_monitoring / Disable monitoring,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-disable-monitoring-disable-monitoring,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_disable_monitoring"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_sources/ds_update_priority,ds_update_priority / Update priority,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-update-priority-update-priority,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_update_priority"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""priority\"": \""high\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_sources/ds_update_lag_policy,ds_update_lag_policy / Update lagging policy,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-update-lag-policy-update-lagging-policy,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_update_lag_policy"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\"", \""data_lag_alert_kpis\"": \""lag_ingestion_kpi\"", \""data_max_lag_allowed\"": \""300\"", \""data_override_lagging_class\"": \""true\""}"""
/services/trackme/v1/data_sources/ds_update_min_dcount_host,ds_update_min_dcount_host / Update minimal host dcount,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-update-min-dcount-host-update-minimal-host-dcount,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_update_min_dcount_host"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\"", \""min_dcount_host\"": \""100\""}"""
/services/trackme/v1/data_sources/ds_update_wdays,ds_update_wdays_by_name / Update week days monitoring,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-update-wdays-by-name-update-week-days-monitoring,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_update_wdays"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\"", \""data_monitoring_wdays\"": \""manual:monday-to-friday\""}"""
/services/trackme/v1/data_sources/ds_update_outliers,ds_update_outliers / Update outliers detection configuration,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-update-outliers-update-outliers-detection-configuration,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_update_outliers"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\"", \""OutlierMinEventCount\"": \""0\"", \""OutlierLowerThresholdMultiplier\"": \""6\"", \""OutlierUpperThresholdMultiplier\"": \""6\"", \""OutlierAlertOnUpper\"": \""false\"", \""OutlierTimePeriod\"": \""7d\"", \""OutlierSpan\"": \""5m\"", \""enable_behaviour_analytic\"": \""true\""}"""
/services/trackme/v1/data_sources/ds_update_monitoring_level,ds_update_monitoring_level / Update monitoring level,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-update-monitoring-level-update-monitoring-level,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_update_monitoring_level"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\"", \""data_monitoring_level\"": \""sourcetype\""}"""
/services/trackme/v1/data_sources/ds_delete_temporary,ds_delete_temporary / Delete temporary,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-delete-temporary-delete-temporary,/services/trackme/v1/data_sources,delete,"| trackme url=""/services/trackme/v1/data_sources/ds_delete_temporary"" mode=""delete"" body=""{\""data_name\"": \""network:pan:traffic\""}"""
/services/trackme/v1/data_sources/ds_delete_permanent,ds_delete_permanent / Delete permanently,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-delete-permanent-delete-permanently,/services/trackme/v1/data_sources,delete,"| trackme url=""/services/trackme/v1/data_sources/ds_delete_permanent"" mode=""delete"" body=""{\""data_name\"": \""network:pan:traffic\""}"""
/services/trackme/v1/data_sources/ds_enable_data_sampling,ds_enable_data_sampling / Enable data sampling,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-enable-data-sampling-enable-data-sampling,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_enable_data_sampling"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_sources/ds_disable_data_sampling,ds_disable_data_sampling / Disable data sampling,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-disable-data-sampling-disable-data-sampling,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_disable_data_sampling"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_sources/ds_update_data_sampling_records_nr,ds_update_data_sampling_records_nr / Update sampling no of records,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#ds-update-data-sampling-records-nr-update-sampling-no-of-records,/services/trackme/v1/data_sources,post,"| trackme url=""/services/trackme/v1/data_sources/ds_update_data_sampling_records_nr"" mode=""post"" body=""{\""data_name\"": \""network:pan:traffic\"", \""data_sampling_nr\"": \""200\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_hosts/dh_collection,dh_collection / Get full Data Hosts collection,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-collection-get-full-data-hosts-collection,/services/trackme/v1/data_hosts,get,"| trackme url=""/services/trackme/v1/data_hosts/dh_collection"" mode=""get"""
/services/trackme/v1/data_hosts/dh_by_key,dh_by_key / Get data host by _key,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-by-key-get-data-host-by-key,/services/trackme/v1/data_hosts,get,"| trackme url=""/services/trackme/v1/data_hosts/dh_by_key"" mode=""get"" body=""{\""_key\"": \""14781cf495c76f1373382197f071c5d6\""}"""
/services/trackme/v1/data_hosts/dh_by_name,dh_by_name / Get data host by name,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-by-name-get-data-host-by-name,/services/trackme/v1/data_hosts,get,"| trackme url=""/services/trackme/v1/data_hosts/dh_by_name"" mode=""get"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\""}"""
/services/trackme/v1/data_hosts/dh_enable_monitoring,dh_enable_monitoring / Enable monitoring,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-enable-monitoring-enable-monitoring,/services/trackme/v1/data_hosts,post,"| trackme url=""/services/trackme/v1/data_hosts/dh_enable_monitoring"" mode=""post"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_hosts/dh_disable_monitoring,dh_disable_monitoring / Disable monitoring,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-disable-monitoring-disable-monitoring,/services/trackme/v1/data_hosts,post,"| trackme url=""/services/trackme/v1/data_hosts/dh_disable_monitoring"" mode=""post"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_hosts/dh_update_priority,dh_update_priority / Update priority,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-update-priority-update-priority,/services/trackme/v1/data_hosts,post,"| trackme url=""/services/trackme/v1/data_hosts/dh_update_priority"" mode=""post"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\"", \""priority\"": \""high\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_hosts/dh_reset,dh_reset / Reset data host,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-reset-reset-data-host,/services/trackme/v1/data_hosts,post,"| trackme url=""/services/trackme/v1/data_hosts/dh_reset"" mode=""post"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/data_hosts/dh_update_lag_policy,dh_update_lag_policy / Update lagging policy,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-update-lag-policy-update-lagging-policy,/services/trackme/v1/data_hosts,post,"| trackme url=""/services/trackme/v1/data_hosts/dh_update_lag_policy"" mode=""post"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\"", \""update_comment\"": \""Updated by automation.\"", \""data_lag_alert_kpis\"": \""lag_ingestion_kpi\"", \""data_max_lag_allowed\"": \""300\"", \""data_override_lagging_class\"": \""true\"", \""data_host_alerting_policy\"": \""track_per_sourcetype\""}"""
/services/trackme/v1/data_hosts/dh_update_wdays,dh_update_wdays / Update week days monitoring,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-update-wdays-update-week-days-monitoring,/services/trackme/v1/data_hosts,post,"| trackme url=""/services/trackme/v1/data_hosts/dh_update_wdays"" mode=""post"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\"", \""update_comment\"": \""Updated by automation.\"", \""data_monitoring_wdays\"": \""manual:monday-to-friday\""}"""
/services/trackme/v1/data_hosts/dh_update_outliers,dh_update_outliers / Update outliers detection configuration,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-update-outliers-update-outliers-detection-configuration,/services/trackme/v1/data_hosts,post,"| trackme url=""/services/trackme/v1/data_hosts/dh_update_outliers"" mode=""post"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\"", \""update_comment\"": \""Updated by automation.\"", \""OutlierMinEventCount\"": \""0\"", \""OutlierLowerThresholdMultiplier\"": \""6\"", \""OutlierUpperThresholdMultiplier\"": \""6\"", \""OutlierAlertOnUpper\"": \""false\"", \""OutlierTimePeriod\"": \""7d\"", \""OutlierSpan\"": \""5m\"", \""enable_behaviour_analytic\"": \""true\""}"""
/services/trackme/v1/data_hosts/dh_delete_temporary,dh_delete_temporary / Delete temporary,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-delete-temporary-delete-temporary,/services/trackme/v1/data_hosts,delete,"| trackme url=""/services/trackme/v1/data_hosts/dh_delete_temporary"" mode=""delete"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\""}"""
/services/trackme/v1/data_hosts/dh_delete_permanent,dh_delete_permanent / Delete permanently,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#dh-delete-permanent-delete-permanently,/services/trackme/v1/data_hosts,delete,"| trackme url=""/services/trackme/v1/data_hosts/dh_delete_permanent"" mode=""delete"" body=""{\""data_host\"": \""FIREWALL.PAN.AMER.DESIGN.NODE1\""}"""
/services/trackme/v1/metric_hosts/mh_collection,mh_collection / Get full Metric Hosts collection,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#mh-collection-get-full-metric-hosts-collection,/services/trackme/v1/metric_hosts,get,"| trackme url=""/services/trackme/v1/metric_hosts/mh_collection"" mode=""get"""
/services/trackme/v1/metric_hosts/mh_by_key,mh_by_key / Get metric host by _key,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#mh-by-key-get-metric-host-by-key,/services/trackme/v1/metric_hosts,get,"| trackme url=""/services/trackme/v1/metric_hosts/mh_by_key"" mode=""get"" body=""{\""_key\"": \""afb0c5fc92f20c8011ecac371b04f77e\""}"""
/services/trackme/v1/metric_hosts/mh_by_name,mh_by_name / Get metric host by name,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#mh-by-name-get-metric-host-by-name,/services/trackme/v1/metric_hosts,get,"| trackme url=""/services/trackme/v1/metric_hosts/mh_by_name"" mode=""get"" body=""{\""metric_host\"": \""telegraf-node1\""}"""
/services/trackme/v1/metric_hosts/mh_enable_monitoring,mh_enable_monitoring / Enable monitoring,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#mh-enable-monitoring-enable-monitoring,/services/trackme/v1/metric_hosts,post,"| trackme url=""/services/trackme/v1/metric_hosts/mh_enable_monitoring"" mode=""post"" body=""{\""metric_host\"": \""telegraf-node1\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/metric_hosts/mh_disable_monitoring,mh_disable_monitoring / Disable monitoring,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#mh-disable-monitoring-disable-monitoring,/services/trackme/v1/metric_hosts,post,"| trackme url=""/services/trackme/v1/metric_hosts/mh_disable_monitoring"" mode=""post"" body=""{\""metric_host\"": \""telegraf-node1\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/metric_hosts/mh_update_priority,mh_update_priority / Update priority,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#mh-update-priority-update-priority,/services/trackme/v1/metric_hosts,post,"| trackme url=""/services/trackme/v1/metric_hosts/mh_update_priority"" mode=""post"" body=""{\""metric_host\"": \""telegraf-node1\"", \""priority\"": \""high\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/metric_hosts/mh_reset,mh_reset / Reset metrics,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#mh-reset-reset-metrics,/services/trackme/v1/metric_hosts,post,"| trackme url=""/services/trackme/v1/metric_hosts/mh_reset"" mode=""post"" body=""{\""metric_host\"": \""telegraf-node1\"", \""update_comment\"": \""Updated by automation.\""}"""
/services/trackme/v1/metric_hosts/mh_delete_temporary,mh_delete_temporary / Delete temporary,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#mh-delete-temporary-delete-temporary,/services/trackme/v1/metric_hosts,delete,"| trackme url=""/services/trackme/v1/metric_hosts/mh_delete_temporary"" mode=""delete"" body=""{\""metric_host\"": \""telegraf-node1\""}"""
/services/trackme/v1/metric_hosts/mh_delete_permanent,mh_delete_permanent / Delete permanently,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#mh-delete-permanent-delete-permanently,/services/trackme/v1/metric_hosts,delete,"| trackme url=""/services/trackme/v1/metric_hosts/mh_delete_permanent"" mode=""delete"" body=""{\""metric_host\"": \""telegraf-node1\""}"""
/services/trackme/v1/elastic_sources/elastic_shared,elastic_shared / Get shared Elastic Sources collection,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-shared-get-shared-elastic-sources-collection,/services/trackme/v1/elastic_sources,get,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_shared"" mode=""get"""
/services/trackme/v1/elastic_sources/elastic_dedicated,elastic_dedicated / Get dedicated Elastic Sources collection,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-dedicated-get-dedicated-elastic-sources-collection,/services/trackme/v1/elastic_sources,get,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_dedicated"" mode=""get"""
/services/trackme/v1/elastic_sources/elastic_shared_by_name,elastic_shared_by_name / Get shared Elastic Source by name,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-shared-by-name-get-shared-elastic-source-by-name,/services/trackme/v1/elastic_sources,get,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_shared_by_name"" mode=""get"" body=""{\""data_name\"": \""elastic:shared:example:tstats\""}"""
/services/trackme/v1/elastic_sources/elastic_dedicated_by_name,elastic_dedicated_by_name / Get shared Elastic Source by name,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-dedicated-by-name-get-shared-elastic-source-by-name,/services/trackme/v1/elastic_sources,get,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_dedicated_by_name"" mode=""get"" body=""{\""data_name\"": \""elastic:dedicated:example:tstats\""}"""
/services/trackme/v1/elastic_sources/elastic_shared_add,elastic_shared_add / Add or update a new shared Elastic Source,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-shared-add-add-or-update-a-new-shared-elastic-source,/services/trackme/v1/elastic_sources,post,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_shared_add"" mode=""post"" body=""{\""data_name\"": \""elastic:shared:example:tstats\"", \""search_constraint\"": \""index=\\\""network\\\"" sourcetype=\\\""pan:traffic\\\"" source=\\\""network:pan:amer\\\""\"", \""search_mode\"": \""tstats\"", \""elastic_data_index\"": \""network\"", \""elastic_data_sourcetype\"": \""pan:traffic\""}"""
/services/trackme/v1/elastic_sources/elastic_dedicated_add,elastic_dedicated_add / Add or update a new dedicated Elastic Source,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-dedicated-add-add-or-update-a-new-dedicated-elastic-source,/services/trackme/v1/elastic_sources,post,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_dedicated_add"" mode=""post"" body=""{\""data_name\"": \""elastic:dedicated:example:tstats\"", \""search_constraint\"": \""index=\\\""network\\\"" sourcetype=\\\""pan:traffic\\\"" source=\\\""network:pan:amer\\\""\"", \""search_mode\"": \""tstats\"", \""elastic_data_index\"": \""network\"", \""elastic_data_sourcetype\"": \""pan:traffic\"", \""earliest_time\"": \""-4h\"", \""latest_time\"": \""+4h\""}"""
/services/trackme/v1/elastic_sources/elastic_shared_del,elastic_shared_del / Delete a new shared Elastic Source,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-shared-del-delete-a-new-shared-elastic-source,/services/trackme/v1/elastic_sources,delete,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_shared_del"" mode=""delete"" body=""{\""data_name\"": \""elastic:shared:example:tstats\""}"""
/services/trackme/v1/elastic_sources/elastic_dedicated_del,elastic_dedicated_del / Delete a new shared Elastic Source,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#elastic-dedicated-del-delete-a-new-shared-elastic-source,/services/trackme/v1/elastic_sources,delete,"| trackme url=""/services/trackme/v1/elastic_sources/elastic_dedicated_del"" mode=""delete"" body=""{\""data_name\"": \""elastic:dedicated:example:tstats\""}"""
/services/trackme/v1/maintenance/maintenance_status,maintenance_status / Get maintenance mode,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#maintenance-status-get-maintenance-mode,/services/trackme/v1/maintenance,get,"| trackme url=""/services/trackme/v1/maintenance/maintenance_status"" mode=""get"""
